trade_date,market,list_kind,rank,code,name,themes,score,stock_score,price,buy_open,change_pct,from_high_pct,judged_from_high_pct,bucket_label,wait_days,hold_days,together_count,recent_gain_pct,state,origin,saved_at,schema
2026-08-10,KR,pullback,1,086790,하나금융지주,토스(toss) · 은행 · 지주사 · 코리아 밸류업 지수(Korea Value-up Index) · 밸류업(24년 기업가치 제고계획 발표) · STO(토큰증권 발행),72.0,,130400.0,,-3.1922791388270255,-8.491228070175438,,,16.0,,,,눌림목 대기,,2026-08-10T17:48:26+09:00,2
2026-08-10,KR,pullback,2,055550,신한지주,은행 · 지주사 · 코리아 밸류업 지수(Korea Value-up Index) · 밸류업(25년 기업가치 제고계획 발표) · 밸류업(24년 기업가치 제고계획 발표) · STO(토큰증권 발행),83.0,,106400.0,,-3.2727272727272716,-6.090026478375998,,,19.0,,,,눌림목 대기,,2026-08-10T17:48:26+09:00,2
2026-08-10,KR,pullback,3,105560,KB금융,은행 · 지주사 · 코리아 밸류업 지수(Korea Value-up Index) · 밸류업(24년 기업가치 제고계획 발표) · 카카오뱅크(kakao BANK) · 인터넷은행 · STO(토큰증권 발행),69.1,,171700.0,,-2.3321956769055796,-11.722365038560412,,,19.0,,,,눌림목 대기,,2026-08-10T17:48:26+09:00,2
2026-08-10,KR,breakout,1,078930,GS,윤활유 · 냉각시스템(액침냉각 등) · 지주사 · 정유 · 자원개발 · LPG(액화석유가스) · 밸류업(25년 기업가치 제고계획 발표) · 주유소 · UAM(도심항공모빌리티) · LNG(액화천연가스),64.0,64.0,97300.0,,-1.6177957532861442,-4.514229636898925,,,3.0,250.0,0.0,2.098635886673672,제외,,2026-08-10T17:48:26+09:00,2
2026-08-10,KR,crash,1,010060,OCI홀딩스,지주사 · 태양광에너지,27.5,27.5,284500.0,,4.4036697247706424,-31.28019323671497,-57.632850241545896,고점 대비 -40~-60%,51.0,20.0,7.0,13.79999999999999,추격 금지,,2026-08-10T17:48:26+09:00,2
2026-08-10,KR,crash,2,009830,한화솔루션,日 수출 규제(국산화 등) · 석유화학 · 태양광에너지 · 수소에너지(수소차/연료전지 등) · 우주태양광(페로브스카이트 등),22.7,22.7,35250.0,,3.9823008849557473,-36.9792970286409,-57.986198019093926,고점 대비 -40~-60%,116.0,20.0,7.0,17.500000000000004,추격 금지,,2026-08-10T17:48:26+09:00,2
2026-08-10,KR,crash,3,006400,삼성SDI,2차전지(나트륨이온) · 2차전지 · 2차전지(전고체) · 전력저장장치(ESS) · 리비안(RIVIAN) · 전기차 · IT 대표주 · 스마트폰 · 아이폰 · 2차전지(생산),46.3,46.3,481500.0,,4.90196078431373,-33.40248962655602,-50.4149377593361,고점 대비 -40~-60%,67.0,20.0,6.0,12.5,제외,,2026-08-10T17:48:26+09:00,2
2026-08-10,KR,crash,4,012450,한화에어로스페이스,우주항공산업(누리호/인공위성 등) · 방위산업/전쟁 및 테러 · 냉각시스템(액침냉각 등) · 드론(Drone) · 코리아 밸류업 지수(Korea Value-up Index) · 밸류업(25년 기업가치 제고계획 발표) · 항공기부품 · 지능형로봇/인공지능(AI),43.6,43.6,1152000.0,,5.013673655423889,-30.39274924471299,-47.73413897280967,고점 대비 -40~-60%,108.0,20.0,6.0,17.67109295199183,추격 금지,,2026-08-10T17:48:26+09:00,2
2026-08-10,KR,crash,5,079550,LIG디펜스앤에어로스페이스,우주항공산업(누리호/인공위성 등) · 방위산업/전쟁 및 테러 · 로봇(산업용/협동로봇 등) · 드론(Drone) · 코리아 밸류업 지수(Korea Value-up Index) · UAM(도심항공모빌리티) · 항공기부품,53.1,53.1,823000.0,,11.066126855600533,-26.386404293381037,-42.665474060822895,고점 대비 -40~-60%,73.0,20.0,6.0,8.005249343832022,제외,,2026-08-10T17:48:26+09:00,2
2026-08-10,KR,crash,6,329180,HD현대중공업,밸류업(24년 기업가치 제고계획 발표) · 조선 · LNG(액화천연가스),51.9,51.9,532000.0,,5.138339920948609,-30.457516339869283,-41.43790849673202,고점 대비 -40~-60%,51.0,20.0,5.0,9.577754891864053,제외,,2026-08-10T17:48:26+09:00,2
