trade_date,market,list_kind,rank,code,name,themes,score,stock_score,price,buy_open,change_pct,from_high_pct,judged_from_high_pct,bucket_label,wait_days,hold_days,together_count,recent_gain_pct,state,origin,theme_place,saved_at,schema
2026-08-31,US,theme15,1,OKTA,OKTA,사이버보안,96.8,99.6,173.0399932861328,,4.096732078219945,-1.0351802998000648,,,,,,,추격 금지,사이버보안,1.0,2026-09-01T09:43:20+09:00,3
2026-08-31,US,theme15,2,CRWD,CrowdStrike,사이버보안,96.7,99.5,231.0,,5.769233725110667,-1.2314027803512095,,,,,,,추격 금지,사이버보안,1.0,2026-09-01T09:43:20+09:00,3
2026-08-31,US,theme15,3,PANW,Palo Alto Networks,사이버보안,96.0,98.3,382.1300048828125,,2.836461866249418,-4.199257870777706,,,,,,,관찰,사이버보안,1.0,2026-09-01T09:43:20+09:00,3
2026-08-31,US,theme15,1,ILMN,ILMN,바이오,93.1,96.9,213.6300048828125,,-0.9091291286105196,-7.842626662892727,,,,,,,관찰,바이오,2.0,2026-09-01T09:43:20+09:00,3
2026-08-31,US,theme15,2,MRNA,MRNA,바이오,90.0,91.8,140.33999633789062,,1.7030152555816747,-20.55927010716393,,,,,,,추격 금지,바이오,2.0,2026-09-01T09:43:20+09:00,3
2026-08-31,US,theme15,3,AMGN,AMGN,바이오,83.4,80.7,429.8800048828125,,-0.5873938453466954,-3.8364302045311938,,,,,,,눌림목 대기,바이오,2.0,2026-09-01T09:43:20+09:00,3
2026-08-31,US,theme15,1,SNOW,SNOW,클라우드·SaaS,92.8,98.8,331.42999267578125,,1.0457294743235535,-3.076478770493718,,,,,,,눌림목 대기,클라우드·SaaS,3.0,2026-09-01T09:43:20+09:00,3
2026-08-31,US,theme15,2,CRM,CRM,클라우드·SaaS,92.0,97.4,257.5400085449219,,0.6015658378601074,-3.812380896366685,,,,,,,추격 금지,클라우드·SaaS,3.0,2026-09-01T09:43:20+09:00,3
2026-08-31,US,theme15,3,MDB,MDB,클라우드·SaaS,91.1,96.0,453.3699951171875,,1.5113519488147542,-4.170367941616792,,,,,,,관찰,클라우드·SaaS,3.0,2026-09-01T09:43:20+09:00,3
2026-08-31,US,theme15,1,MPC,MPC,석유·가스,92.4,99.7,373.32000732421875,,1.21736868351765,-0.860152920577173,,,,,,,돌파 확인,석유·가스,4.0,2026-09-01T09:43:20+09:00,3
2026-08-31,US,theme15,2,VLO,VLO,석유·가스,92.4,99.6,358.9200134277344,,1.861740364651987,-1.0667314496089042,,,,,,,돌파 확인,석유·가스,4.0,2026-09-01T09:43:20+09:00,3
2026-08-31,US,theme15,3,SLB,SLB,석유·가스,76.7,73.5,60.099998474121094,,4.831670250472486,-0.5954360168755279,,,,,,,돌파 확인,석유·가스,4.0,2026-09-01T09:43:20+09:00,3
2026-08-31,US,theme15,1,ILMN,ILMN,유전체·정밀의료,87.6,96.9,213.6300048828125,,-0.9091291286105196,-7.842626662892727,,,,,,,관찰,유전체·정밀의료,5.0,2026-09-01T09:43:20+09:00,3
2026-08-31,US,theme15,2,TWST,TWST,유전체·정밀의료,86.9,95.8,139.0,,-1.6834098179479118,-10.576429608332882,,,,,,,관찰,유전체·정밀의료,5.0,2026-09-01T09:43:20+09:00,3
2026-08-31,US,theme15,3,TEM,TEM,유전체·정밀의료,73.4,73.3,63.04999923706055,,-1.5459114058612666,-39.56096681220682,,,,,,,관찰,유전체·정밀의료,5.0,2026-09-01T09:43:20+09:00,3
2026-08-31,US,breakout,1,TWST,TWST,유전체·정밀의료,76.0,,139.0,,-1.6834098179479118,-9.2096705039,,,2.0,,,,정식 후보,,,2026-09-01T09:43:20+09:00,3
2026-08-31,US,breakout,2,ILMN,ILMN,바이오 · 유전체·정밀의료,76.0,,213.6300048828125,,-0.9091291286105196,-6.1750614466,,,2.0,,,,정식 후보,,,2026-09-01T09:43:20+09:00,3
2026-08-31,US,breakout,3,XYZ,XYZ,핀테크·블록체인,70.0,,82.0199966430664,,-1.8547362180423854,-3.3352998019,,,2.0,,,,정식 후보,,,2026-09-01T09:43:20+09:00,3
2026-08-31,US,crash,1,CRSP,CRSP,바이오 · 유전체·정밀의료,70.0,,56.97999954223633,,-1.2820541628841386,-27.395518469734835,-39.29663945989178,고점 대비 -30~-50%,224.0,,2.0,6.405229419316161,,,,2026-09-01T09:43:20+09:00,3
2026-08-31,US,crash,2,HOOD,Robinhood,핀테크·블록체인,70.0,,104.80999755859375,,0.5275229341014542,-31.879632690224867,-41.609257778823725,고점 대비 -30~-50%,226.0,,2.0,9.67978258300839,,,,2026-09-01T09:43:20+09:00,3
2026-08-31,US,crash,3,DELL,Dell,AI·데이터센터,70.0,,456.010009765625,,-0.05040778398927026,-11.282099267388135,-21.134294658287644,고점 대비 -20~-30%,12.0,,5.0,-7.090317631277321,,,,2026-09-01T09:43:20+09:00,3
2026-08-31,US,crash,4,MRNA,MRNA,바이오,70.0,,140.33999633789062,,1.7030152555816747,-20.55927010716393,-36.34345484837781,고점 대비 -30~-50%,8.0,,1.0,121.63612920762858,,,,2026-09-01T09:43:20+09:00,3
2026-08-31,US,crash,5,HPE,HPE,AI·데이터센터,70.0,,52.2400016784668,,-0.13381703878134754,-18.454722684833502,-30.63032359368484,고점 대비 -30~-50%,62.0,,5.0,-11.020264872933739,,,,2026-09-01T09:43:20+09:00,3
2026-08-31,US,crash,6,PLTR,Palantir,AI·데이터센터,70.0,,186.3800048828125,,0.04831799877809129,-10.18696942676086,-40.72860569214879,고점 대비 -30~-50%,206.0,,5.0,7.090331000181038,,,,2026-09-01T09:43:20+09:00,3
2026-08-31,US,crash,7,VRT,Vertiv,AI·데이터센터 · 전력망·전력설비,70.0,,258.7200012207031,,0.6379394484589573,-31.889969916092596,-41.28300641250389,고점 대비 -30~-50%,74.0,,5.0,-11.952081253364344,,,,2026-09-01T09:43:20+09:00,3
2026-08-31,US,crash,8,TSLA,Tesla,빅테크10 · 배터리·전기차,60.0,,367.95001220703125,,5.505379844310032,-26.237391072774606,-40.196055699429955,고점 대비 -30~-50%,172.0,,4.0,7.502855645440065,,,,2026-09-01T09:43:20+09:00,3
2026-08-31,US,crash,9,AMD,AMD,반도체,60.0,,470.7200012207031,,1.104002490802869,-19.497885016371242,-26.537032150423336,고점 대비 -20~-30%,43.0,,8.0,-8.489669741661077,,,,2026-09-01T09:43:20+09:00,3
2026-08-31,US,crash,10,ASML,ASML,반도체,60.0,,1696.010009765625,,-0.008844944524066811,-15.088128808488255,-22.363674857758408,고점 대비 -20~-30%,43.0,,8.0,-8.029475392479746,,,,2026-09-01T09:43:20+09:00,3
2026-08-31,US,crash,11,MU,Micron,반도체,60.0,,958.72998046875,,2.773191638982997,-23.59542184873463,-41.10648002665071,고점 대비 -30~-50%,46.0,,8.0,-1.3307116721023915,,,,2026-09-01T09:43:20+09:00,3
2026-08-31,US,crash,12,AMAT,Applied Materials,반도체,60.0,,458.3900146484375,,-0.7104638992998624,-37.961498841212475,-40.993956418610566,고점 대비 -30~-50%,43.0,,8.0,-9.52321118509496,,,,2026-09-01T09:43:20+09:00,3
2026-08-31,US,crash,13,LRCX,Lam Research,반도체,60.0,,301.489990234375,,-0.1358077742293573,-31.245156160917897,-42.45153794674672,고점 대비 -30~-50%,43.0,,8.0,-9.288120254468646,,,,2026-09-01T09:43:20+09:00,3
2026-08-31,US,crash,14,KLAC,KLA,반도체,60.0,,175.4499969482422,,-0.05126828149294438,-42.85443910079366,-44.630245393264104,고점 대비 -30~-50%,43.0,,8.0,-13.779550733691359,,,,2026-09-01T09:43:20+09:00,3
2026-08-31,US,crash,15,QCOM,Qualcomm,반도체,60.0,,170.47999572753906,,3.8309234378490764,-34.16834087125218,-39.88343226276586,고점 대비 -30~-50%,64.0,,8.0,2.8288814954663177,,,,2026-09-01T09:43:20+09:00,3
2026-08-31,US,crash,16,MDB,MDB,클라우드·SaaS,50.0,,453.3699951171875,,1.5113519488147542,-4.170367941616792,-27.797264521016686,고점 대비 -20~-30%,11.0,,3.0,-1.5119569999999305,,,,2026-09-01T09:43:20+09:00,3
2026-08-31,US,crash,17,CRM,CRM,클라우드·SaaS,50.0,,257.5400085449219,,0.6015658378601074,-3.812380896366685,-30.666279935992048,고점 대비 -30~-50%,168.0,,3.0,31.2573261976858,,,,2026-09-01T09:43:20+09:00,3
2026-08-31,US,crash,18,NOW,NOW,클라우드·SaaS,50.0,,147.99000549316406,,2.266601221145925,-24.000900203211785,-42.450904474895104,고점 대비 -30~-50%,234.0,,3.0,19.346778623519413,,,,2026-09-01T09:43:20+09:00,3
2026-08-31,US,crash,19,BEAM,BEAM,유전체·정밀의료,40.0,,29.43000030517578,,0.37517261765518395,-23.078929439962337,-31.991631993566262,고점 대비 -30~-50%,39.0,,2.0,10.018692729629098,,,,2026-09-01T09:43:20+09:00,3
2026-08-31,US,crash,20,ELVR,Elevra Lithium,희토류·핵심광물,40.0,,59.29999923706055,,0.35538853262884196,-42.31517755188767,-42.31517755188767,고점 대비 -30~-50%,53.0,,2.0,-8.572311626533736,,,,2026-09-01T09:43:20+09:00,3
2026-08-31,US,top7,1,OKTA,OKTA,사이버보안,96.8,99.6,173.19,,4.186972538860445,-0.9493886448782018,,,,,,,추격 금지,테마 대장주,,2026-09-01T09:43:20+09:00,3
2026-08-31,US,top7,2,CRWD,CrowdStrike,사이버보안,96.7,99.5,229.57,,5.114471802050469,-1.842827429806182,,,,,,,추격 금지,테마 대장주,,2026-09-01T09:43:20+09:00,3
2026-08-31,US,top7,3,PANW,Palo Alto Networks,사이버보안,96.0,98.3,381.78,,2.742270718408535,-4.287004781760462,,,,,,,관찰,테마 대장주,,2026-09-01T09:43:20+09:00,3
2026-08-31,US,top7,1,TWST,TWST,유전체·정밀의료,76.0,,139.0,,-1.6834098179479118,-9.2096705039,,,2.0,,,,정식 후보,상승장,,2026-09-01T09:43:20+09:00,3
2026-08-31,US,top7,2,ILMN,ILMN,바이오 · 유전체·정밀의료,76.0,,213.6300048828125,,-0.9091291286105196,-6.1750614466,,,2.0,,,,정식 후보,상승장,,2026-09-01T09:43:20+09:00,3
2026-08-31,US,top7,3,XYZ,XYZ,핀테크·블록체인,70.0,,82.0199966430664,,-1.8547362180423854,-3.3352998019,,,2.0,,,,정식 후보,상승장,,2026-09-01T09:43:20+09:00,3
