trade_date,market,list_kind,rank,code,name,themes,score,stock_score,price,buy_open,change_pct,from_high_pct,judged_from_high_pct,bucket_label,wait_days,hold_days,together_count,recent_gain_pct,state,origin,theme_place,saved_at,schema
2026-09-02,KR,pullback,1.0,278470,에이피알,화장품 · 패션/의류 · 미용기기,70.1,,419000.0,420500.0,-3.121387283236998,-11.789473684210527,,,1.0,,,,눌림목 대기,화장품,,2026-09-02T21:05:06+09:00,3.0
2026-09-02,KR,crash,1.0,005930,삼성전자,공기청정기 · 의료기기 · 제습기 · 무선충전기술 · NFT(대체불가토큰) · 마이크로 LED · 아이폰 · 뉴로모픽 반도체 · 갤럭시 부품주 · OLED(유기 발광 다이오드) · 가상현실(VR) · 자율주행차 · 온디바이스 AI · 삼성페이 · 5G(5세대 이동통신) · 시스템반도체 · 스마트폰 · 고령화 사회(노인복지) · 코리아 밸류업 지수(Korea Value-up Index) · 스마트홈(홈네트워크) · 전력반도체 · 플렉서블 디스플레이 · IT 대표주 · 피지컬 AI/휴머노이드 로봇 · S7(삼성전자/SK하이닉스 등) · 반도체 대표주(생산) · 폴더블폰 · LED · CXL(컴퓨트익스프레스링크) · HBM(고대역폭메모리) · 소캠(SOCAMM),41.7,41.7,250500.0,254000.0,-4.0229885057471275,-33.11081441922563,-44.72630173564753,고점 대비 -40~-60%,51.0,20.0,6.0,-6.703910614525144,제외,공기청정기,,2026-09-02T21:05:06+09:00,3.0
2026-09-02,KR,crash,2.0,012450,한화에어로스페이스,방위산업/전쟁 및 테러 · 항공기부품 · 우주항공산업(누리호/인공위성 등) · 냉각시스템(액침냉각 등) · 지능형로봇/인공지능(AI) · 드론(Drone) · 코리아 밸류업 지수(Korea Value-up Index) · 밸류업(25년 기업가치 제고계획 발표),39.9,39.9,1025000.0,1035000.0,-3.1190926275992403,-38.066465256797585,-47.73413897280967,고점 대비 -40~-60%,124.0,20.0,6.0,-10.558464223385688,제외,방위산업/전쟁 및 테러,,2026-09-02T21:05:06+09:00,3.0
2026-09-02,KR,crash,3.0,034730,SK,클라우드 컴퓨팅 · 조림사업 · 블록체인 · 지주사 · 냉각시스템(액침냉각 등) · SI(시스템통합) · 전기차(충전소/충전기) · 핀테크(FinTech) · 수소에너지(수소차/연료전지 등) · 밸류업(24년 기업가치 제고계획 발표) · LNG(액화천연가스) · 스마트팩토리(스마트공장),44.0,44.0,545000.0,551000.0,-6.996587030716728,-38.27859569648923,-46.94224235560589,고점 대비 -40~-60%,47.0,20.0,6.0,-7.6271186440677985,눌림목 대기,클라우드 컴퓨팅,,2026-09-02T21:05:06+09:00,3.0
2026-09-02,KR,crash,4.0,028260,삼성물산,지주사 · 건설 대표주 · 자원개발 · 모듈러주택 · 태양광에너지 · 전후 재건(우크라/중동 전쟁 등) · 종합상사 · S7(삼성전자/SK하이닉스 등) · 패션/의류,46.7,46.7,373000.0,383500.0,-4.481434058898848,-33.98230088495575,-47.96460176991151,고점 대비 -40~-60%,62.0,20.0,8.0,1.084010840108407,눌림목 대기,지주사,,2026-09-02T21:05:06+09:00,3.0
2026-09-02,KR,crash,5.0,005490,POSCO홀딩스,희귀금속(희토류 등) · 철강 주요종목 · 환율하락 수혜 · 풍력에너지 · 2차전지 · 폐배터리 · 2차전지(소재/부품) · 니켈 · 모듈러주택 · 밸류업(24년 기업가치 제고계획 발표) · LNG(액화천연가스) · 리튬,55.5,55.5,330000.0,333000.0,-3.2258064516129004,-39.11439114391144,-44.557195571955724,고점 대비 -40~-60%,80.0,20.0,5.0,1.6949152542372836,눌림목 대기,희귀금속(희토류 등),,2026-09-02T21:05:06+09:00,3.0
2026-09-02,KR,crash,6.0,012330,현대모비스,자동차부품 · 스마트카(SMART CAR) · 음성인식 · 자율주행차 · 전기차 · 코리아 밸류업 지수(Korea Value-up Index) · 밸류업(24년 기업가치 제고계획 발표) · 피지컬 AI/휴머노이드 로봇 · 자동차 대표주,34.5,34.5,415500.0,418500.0,-6.313416009019168,-49.45255474452554,-45.86374695863748,고점 대비 -40~-60%,64.0,20.0,7.0,-19.787644787644787,제외,자동차부품,,2026-09-02T21:05:06+09:00,3.0
2026-09-02,KR,crash,7.0,005380,현대차,폐배터리 · UAM(도심항공모빌리티) · 자율주행차 · 전기차 · 전기차(충전소/충전기) · 메타버스(Metaverse) · 수소에너지(수소차/연료전지 등) · 코리아 밸류업 지수(Korea Value-up Index) · 밸류업(24년 기업가치 제고계획 발표) · 피지컬 AI/휴머노이드 로봇 · 자동차 대표주,40.0,40.0,378000.0,381500.0,-5.61797752808989,-51.72413793103448,-55.172413793103445,고점 대비 -40~-60%,64.0,20.0,7.0,-13.103448275862073,제외,폐배터리,,2026-09-02T21:05:06+09:00,3.0
2026-09-02,KR,crash,8.0,000270,기아,방위산업/전쟁 및 테러 · 자율주행차 · 전기차 · 전기차(충전소/충전기) · 수소에너지(수소차/연료전지 등) · 코리아 밸류업 지수(Korea Value-up Index) · 밸류업(24년 기업가치 제고계획 발표) · 피지컬 AI/휴머노이드 로봇 · 자동차 대표주,46.8,46.8,124400.0,124900.0,-5.182926829268297,-41.458823529411774,-43.152941176470584,고점 대비 -40~-60%,126.0,20.0,7.0,-9.329446064139946,제외,방위산업/전쟁 및 테러,,2026-09-02T21:05:06+09:00,3.0
2026-09-02,KR,crash,9.0,329180,HD현대중공업,밸류업(24년 기업가치 제고계획 발표) · LNG(액화천연가스) · 조선,40.1,40.1,422000.0,424000.0,-6.8432671081677725,-44.83660130718954,-41.43790849673202,고점 대비 -40~-60%,67.0,20.0,5.0,-13.78958120531154,제외,밸류업(24년 기업가치 제고계획 발표),,2026-09-02T21:05:06+09:00,3.0
2026-09-02,KR,crash,10.0,267260,HD현대일렉트릭,전력저장장치(ESS) · 전력설비 · 코리아 밸류업 지수(Korea Value-up Index) · 밸류업(24년 기업가치 제고계획 발표),34.5,34.5,711000.0,723000.0,-7.542262678803646,-50.27972027972027,-59.23076923076923,고점 대비 -40~-60%,80.0,20.0,4.0,-9.426751592356686,제외,전력저장장치(ESS),,2026-09-02T21:05:06+09:00,3.0
2026-09-02,KR,crash,11.0,017670,SK텔레콤,클라우드 컴퓨팅 · 블록체인 · UAM(도심항공모빌리티) · 자율주행차 · 양자암호/양자컴퓨팅 · 통신 · 5G(5세대 이동통신) · 코리아 밸류업 지수(Korea Value-up Index) · 스마트홈(홈네트워크) · 밸류업(24년 기업가치 제고계획 발표),40.7,40.7,91400.0,91200.0,-3.382663847780132,-34.48028673835125,-43.9426523297491,고점 대비 -40~-60%,63.0,20.0,6.0,-8.416833667334666,제외,클라우드 컴퓨팅,,2026-09-02T21:05:06+09:00,3.0
2026-09-02,KR,crash,12.0,006400,삼성SDI,2차전지 · 전력저장장치(ESS) · 아이폰 · 전기차 · 리비안(RIVIAN) · 스마트폰 · IT 대표주 · 2차전지(전고체) · 2차전지(생산) · 2차전지(나트륨이온),71.1,71.1,538000.0,548000.0,-5.448154657293502,-25.587828492392806,-50.4149377593361,고점 대비 -40~-60%,83.0,20.0,7.0,10.245901639344268,눌림목 대기,2차전지,,2026-09-02T21:05:06+09:00,3.0
2026-09-02,KR,crash,13.0,196170,알테오젠,바이오시밀러(복제 바이오의약품),46.8,46.8,298500.0,307000.0,-0.830564784053156,-31.820984975492095,-50.87890401947841,고점 대비 -40~-60%,195.0,20.0,3.0,0.1677852348993314,제외,바이오시밀러(복제 바이오의약품),,2026-09-02T21:05:06+09:00,3.0
2026-09-02,KR,crash,14.0,000660,SK하이닉스,아이폰 · 자율주행차 · 온디바이스 AI · 시스템반도체 · 코리아 밸류업 지수(Korea Value-up Index) · 전력반도체 · 밸류업(24년 기업가치 제고계획 발표) · IT 대표주 · S7(삼성전자/SK하이닉스 등) · 반도체 대표주(생산) · CXL(컴퓨트익스프레스링크) · HBM(고대역폭메모리) · 소캠(SOCAMM),32.5,32.5,1613000.0,1643000.0,-4.725339633786174,-45.99933043187144,-55.741546702376965,고점 대비 -40~-60%,47.0,20.0,6.0,-2.9482551143200975,눌림목 대기,아이폰,,2026-09-02T21:05:06+09:00,3.0
2026-09-02,KR,crash,15.0,128940,한미약품,"백신/진단시약/방역(신종플루, AI 등) · 비만치료제 · 코리아 밸류업 지수(Korea Value-up Index) · mRNA(메신저 리보핵산) · 겨울 · 제약업체 · 밸류업(25년 기업가치 제고계획 발표) · 바이오시밀러(복제 바이오의약품)",47.8,47.8,474000.0,475500.0,-3.658536585365857,-26.738794435857805,-51.854714064915,고점 대비 -40~-60%,129.0,20.0,3.0,20.918367346938773,제외,"백신/진단시약/방역(신종플루, AI 등)",,2026-09-02T21:05:06+09:00,3.0
2026-09-02,KR,crash,16.0,034020,두산에너빌리티,수자원(양적/질적 개선) · 원자력발전 · 풍력에너지 · 항공기부품 · 핵융합에너지 · 전력설비 · 셰일가스(Shale Gas) · 원자력발전소 해체,34.5,34.5,76600.0,77900.0,-5.896805896805901,-44.97126436781609,-56.75287356321839,고점 대비 -40~-60%,80.0,20.0,6.0,-1.6688061617458283,제외,수자원(양적/질적 개선),,2026-09-02T21:05:06+09:00,3.0
2026-09-02,KR,crash,17.0,001210,금호전기,LED,45.0,45.0,13300.0,13770.0,1.759755164498844,-7.317073170731703,-45.08599508599509,고점 대비 -40~-60%,1.0,20.0,1.0,115.21035598705502,추격 금지,LED,,2026-09-02T21:05:06+09:00,3.0
2026-09-02,KR,crash,18.0,387690,레메디,의료기기 · 2026 하반기 신규상장 · 치아 치료(임플란트 등),10.4,10.4,16780.0,16610.0,15.804002760524494,-51.57287157287157,,고점 대비 -40~-60%,35.0,20.0,2.0,23.473142016188376,추격 금지,의료기기,,2026-09-02T21:05:06+09:00,3.0
2026-09-02,KR,crash,19.0,002990,금호건설,수자원(양적/질적 개선) · GTX(수도권 광역급행철도) · 건설 중소형,45.9,45.9,17100.0,17350.0,3.6363636363636376,-11.764705882352944,-51.031991744066055,고점 대비 -40~-60%,36.0,20.0,4.0,22.580645161290324,제외,수자원(양적/질적 개선),,2026-09-02T21:05:06+09:00,3.0
2026-09-02,KR,crash,20.0,067290,JW신약,탈모 치료 · 제약업체,48.3,48.3,3100.0,3150.0,3.678929765886285,-10.662824207492793,-47.73448773448773,고점 대비 -40~-60%,0.0,20.0,3.0,39.9548532731377,추격 금지,탈모 치료,,2026-09-02T21:05:06+09:00,3.0
2026-09-02,KR,top7,1.0,003490,대한항공,항공/저가 항공사(LCC),94.3,,28900.0,28950.0,0.521739130434784,-7.371794871794868,,,,,,,관찰,,,2026-09-02T21:05:06+09:00,3.0
2026-09-02,KR,top7,2.0,316140,우리금융지주,은행,84.9,,34500.0,34350.0,-0.14471780028944004,-16.867469879518072,,,,,,,눌림목 대기,,,2026-09-02T21:05:06+09:00,3.0
2026-09-02,KR,top7,3.0,055550,신한지주,은행,83.8,,110500.0,113000.0,-0.5400540054005365,-2.985074626865669,,,,,,,돌파 확인,,,2026-09-02T21:05:06+09:00,3.0
2026-09-02,KR,top7,4.0,086790,하나금융지주,토스(toss) · 은행,78.2,,134900.0,136100.0,-1.81950509461426,-5.333333333333334,,,,,,,눌림목 대기,,,2026-09-02T21:05:06+09:00,3.0
2026-09-02,KR,top7,5.0,105560,KB금융,카카오뱅크(kakao BANK) · 은행,76.3,,169100.0,171600.0,-1.2266355140186924,-13.059125964010288,,,,,,,눌림목 대기,,,2026-09-02T21:05:06+09:00,3.0
2026-09-02,KR,top7,6.0,096770,SK이노베이션,LPG(액화석유가스) · 윤활유 · 주유소,75.5,,131500.0,129200.0,-2.8085735402808565,-15.379665379665376,,,,,,,눌림목 대기,,,2026-09-02T21:05:06+09:00,3.0
2026-09-02,KR,top7,7.0,323410,카카오뱅크,카카오뱅크(kakao BANK) · 은행,73.4,,21900.0,21950.0,-0.2277904328018221,-25.762711864406786,,,,,,,눌림목 대기,,,2026-09-02T21:05:06+09:00,3.0
