ticker,shares
AAPL,14594180000.0
ABBNY,1813299480.0
ABBV,1767117285.0
ABNB,598785682.0
ABT,1730383296.0
ACN,611942109.0
ADBE,397500000.0
ADP,397262737.0
ALB,118005057.0
AMAT,793959430.0
AMD,1632475042.0
AMGN,539708274.0
AMZN,10786313572.0
ANET,1261224648.0
AON,212125434.0
APD,222685530.0
ASML,384100000.0
ASTS,298746383.0
AVAV,50608030.0
AVGO,4757580198.0
AXP,675309833.0
BAC,6992748365.0
BEAM,103287665.0
BEP,303275965.0
BIIB,147753998.0
BKNG,774878436.0
BLK,154869259.0
BMY,2042714656.0
BRK-B,2140709794.0
BSX,1449229526.0
C,1677436783.0
CAT,459674889.0
CB,385799859.0
CCJ,435532979.0
CEG,354307379.0
CGNX,168223842.0
CHKP,102100634.0
CHPT,24416236.0
CI,264240486.0
COIN,263836923.0
COP,1218294007.0
COST,443478804.0
CRM,819000000.0
CRSP,96692653.0
CRWD,1018259280.0
CVS,1278970369.0
CVX,1961603274.0
CWEN,205274852.0
DDOG,359075024.0
DE,270107282.0
DELL,646142428.0
DHI,279701267.0
DHR,702986054.0
DIS,1726686902.0
DUK,779702193.0
ELV,216869290.0
ELVR,16932911.0
EMR,557800000.0
ENPH,131798220.0
EOG,532628530.0
ETN,388300000.0
F,3987595667.0
FCX,1400000000.0
FSLR,107469788.0
FTNT,733713653.0
GD,270557195.0
GEN,598587032.0
GEV,266333581.0
GILD,1239955155.0
GM,904451541.0
GOOGL,12229934831.0
GS,291171408.0
HD,997116682.0
HII,39404598.0
HON,316940010.0
HOOD,899082273.0
HPE,1324203521.0
HUBB,52832571.0
IBM,942134390.0
ILMN,151000000.0
INTU,273537000.0
IONQ,405135656.0
IRDM,105960383.0
ISRG,358278038.0
ITW,284800000.0
JNJ,2409898597.0
JPM,2658186195.0
KLAC,1306546783.0
KO,4302549243.0
KTOS,187721327.0
LEN,240895142.0
LEU,19952858.0
LHX,186214616.0
LIN,460980163.0
LLY,891741406.0
LMT,230790753.0
LOW,561000000.0
LRCX,1251321000.0
LUNR,160452309.0
MA,876009940.0
MCD,707641531.0
MDB,80431927.0
MDLZ,1283649766.0
MDT,1280045190.0
META,2547506225.0
MLM,60065839.0
MP,178101588.0
MPC,291936635.0
MRK,2467171638.0
MRNA,399235889.0
MS,1572000000.0
MSFT,7425545491.0
MSTR,393822794.0
MU,1129393151.0
NEE,2085605358.0
NET,356079715.0
NFLX,4163939676.0
NKE,1480887033.0
NOC,142063026.0
NOW,1033862000.0
NTLA,140126693.0
NU,4830484570.0
NUE,227735644.0
NVDA,24221000000.0
NVR,2664860.0
NXE,670506101.0
NXT,151729520.0
OKLO,186017650.0
OKTA,175346441.0
ORCL,2880471000.0
OXY,999637371.0
PACB,310830759.0
PANW,815000000.0
PEP,1364891558.0
PFE,5699673589.0
PG,2328598978.0
PGR,581371770.0
PHM,190486353.0
PL,356402526.0
PLD,950333372.0
PLTR,2403058480.0
PM,1558613439.0
PWR,150343393.0
PYPL,855460874.0
QBTS,372439933.0
QCOM,1050000000.0
QS,615145076.0
QUBT,226346861.0
RDW,249992609.0
REGN,102954988.0
RGTI,333768747.0
RIO,1626903553.0
RIVN,1447860630.0
RKLB,639301732.0
ROK,111048676.0
RTX,1347758144.0
RUN,238549287.0
SATS,289813488.0
SBUX,1140000000.0
SCHW,1729335714.0
SEDG,61525748.0
SLB,1484143231.0
SMR,410389522.0
SNOW,346600000.0
SO,1150362966.0
SOFI,1291570324.0
SPGI,294800000.0
SQM,285637808.0
STLA,3767323870.0
SYK,383573046.0
SYM,129873381.0
T,6852385650.0
TEM,180434756.0
TER,156340750.0
TJX,1104704446.0
TMO,369747286.0
TOL,93471000.0
TSLA,3949547394.0
TSM,5186474013.0
TWST,62707424.0
TXN,913247686.0
UBER,2042560121.0
UEC,490220783.0
UNH,897594847.0
UPS,850781582.0
URI,62242489.0
UUUU,249965000.0
V,1867047259.0
VLO,287927461.0
VMC,129578739.0
VRT,384988173.0
VRTX,253460924.0
VST,335635195.0
VZ,4154775202.0
WFC,3023999336.0
WMT,7958079155.0
XOM,4111911960.0
XYZ,600795000.0
ZS,161709525.0
ZTS,413223602.0
