offset,day,method,hold,cost,tickers,exposure,return_pct
0,2016-06-30,high,1,0.2,ADP BSX CB CVX DHR,0.5,-0.029574990263170342
0,2016-08-01,high,1,0.2,AMZN BLK BSX DHR GOOGL,0.5,-0.19070104757847872
0,2016-08-30,high,1,0.2,APD BLK BRK-B JPM LHX,0.5,-0.044677449090990695
0,2016-09-29,high,1,0.2,ACN AMZN BKNG CAT NVDA,0.5,0.14288574029597267
0,2016-10-28,high,1,0.2,MA NOC TER JPM DE,0.5,-0.10799645722776585
0,2016-11-29,high,1,0.2,ACN ADP AMAT GD HPE,0.5,-0.3326478141558731
0,2016-12-29,high,1,0.2,ADP T DE CB ZTS,0.5,-0.26968857205267316
0,2017-01-31,high,1,0.2,DHR GEN HUBB NOW ZTS,0.5,-0.5265271885868561
0,2017-03-02,high,1,0.2,ABT ALB AVGO BKNG CGNX,0.5,0.1707387711514352
0,2017-03-31,high,1,0.2,ADBE AMZN CGNX DIS FTNT,0.5,-0.32118384361161656
0,2017-05-02,high,1,0.2,AAPL ABBNY ABBV AMAT ANET,0.5,-0.019860255355186318
0,2017-06-01,high,1,0.2,ABBNY ABT ACN AMAT ANET,0.5,0.37788296260994336
0,2017-06-30,high,1,0.2,AXP DHI PHM CAT C,0.5,-0.052095156449716296
0,2017-08-01,high,1,0.2,ACN APD C CB CGNX,0.5,-0.5635693447828993
0,2017-08-30,high,1,0.2,AAPL ADBE ANET BMY CAT,0.5,-0.06474398936079373
0,2017-09-29,high,1,0.2,ALB AMAT ASML AVAV AXP,0.5,0.08647311842311378
0,2017-10-30,high,1,0.2,AAPL ACN AMZN ANET AVGO,0.5,0.06030915330084152
0,2017-11-29,high,1,0.2,AXP BAC BLK BRK-B CI,0.5,0.16283637143859053
0,2017-12-29,high,1,0.2,ABBNY APD LOW PEP RIO,0.5,-0.19367310620737044
0,2018-01-31,high,1,0.2,ADP AMZN CB CRM FTNT,0.5,-0.7026266617437882
0,2018-03-02,high,1,0.2,CRM CRSP NFLX NOW PANW,0.5,0.7450626208782563
0,2018-04-03,high,1,0.2,RUN COP NEE LHX MPC,0.5,1.2687890475677532
0,2018-05-02,high,1,0.2,CCJ MA OKTA PANW VLO,0.5,0.08365876405407313
0,2018-06-01,high,1,0.2,AAPL ADBE ADP AMZN FTNT,0.5,0.10473268705386563
0,2018-07-02,high,1,0.2,CRM DELL NEE RUN AVAV,0.5,-0.42472189079265643
0,2018-08-01,high,1,0.2,AAPL MDT PFE LLY PLD,0.5,0.3867814529922464
0,2018-08-30,high,1,0.2,AAPL AMGN AMZN COP COST,0.5,0.15122599958665717
0,2018-10-01,high,1,0.2,ABT ADBE ADP BSX COP,0.5,-0.3936791513344362
0,2018-10-30,high,1,0.2,,0.0,0.0
0,2018-11-29,high,1,0.2,,0.0,0.0
0,2019-01-02,high,1,0.2,,0.0,0.0
0,2019-02-01,high,1,0.2,,0.0,0.0
0,2019-03-05,high,1,0.2,MRK NEE SBUX ZTS LLY,0.5,-0.6441787489583684
0,2019-04-03,high,1,0.2,ACN ANET APD DELL INTU,0.5,-0.8381105010325518
0,2019-05-03,high,1,0.2,APD AXP DELL DHR ENPH,0.5,0.463446268700185
0,2019-06-04,high,1,0.2,AON APD KO KTOS LHX,0.5,0.7124680763767488
0,2019-07-03,high,1,0.2,ABT ACN ADBE AON APD,0.5,0.02574408334834466
